Date,Symbol,Open,High,Low,Close,Volume
2026-01-02,AJAXENGG,590.5,602.8,579.15,599.0,47892.0
2026-01-01,AKUMS,453.4,453.7,445.05,445.9,55387.0
2026-01-02,AKUMS,445.9,455.6,445.15,452.0,85416.0
2026-01-01,AKZOINDIA,3175.1,3193.9,3141.0,3185.9,44106.0
2026-01-02,AKZOINDIA,3199.0,3218.9,3163.0,3200.0,41621.0
2026-01-01,ALIVUS,916.6,922.9,905.2,907.6,19593.0
2026-01-02,ALIVUS,905.6,919.0,900.2,913.95,37450.0
2026-01-01,ALKEM,5477.0,5519.5,5384.0,5463.5,44385.0
2026-01-02,ALKEM,5498.0,5600.0,5448.5,5585.0,37633.0
2026-01-01,ALKYLAMINE,1596.1,1630.1,1596.1,1618.4,30942.0
2026-01-02,ALKYLAMINE,1615.0,1620.0,1600.9,1608.7,25214.0
2026-01-01,ALLCARGO,10.14,10.73,10.14,10.64,7048933.0
2026-01-02,ALLCARGO,10.73,11.6,10.65,11.5,13306884.0
2026-01-01,ALOKINDS,16.09,16.23,16.04,16.12,1545158.0
2026-01-02,ALOKINDS,16.12,16.32,16.06,16.31,3144787.0
2026-01-01,AMBER,6405.0,6465.0,6373.5,6447.5,86159.0
2026-01-02,AMBER,6440.0,6549.5,6420.0,6479.5,160934.0
2026-01-01,AMBUJACEM,556.9,561.0,555.1,559.65,1568506.0
2026-01-02,AMBUJACEM,560.0,566.5,558.15,566.05,1368714.0
2026-01-01,ANANDRATHI,3103.0,3103.6,3062.0,3094.9,265253.0
2026-01-02,ANANDRATHI,3074.0,3107.5,3055.0,3079.0,148427.0
2026-01-01,ANANTRAJ,547.95,556.2,546.35,552.5,759230.0
2026-01-02,ANANTRAJ,552.5,588.0,552.0,586.0,5428240.0
2026-01-01,ANGELONE,2352.0,2375.0,2320.7,2362.8,474163.0
2026-01-02,ANGELONE,2375.0,2402.7,2357.0,2394.0,1050780.0
2026-01-01,ANUP,2258.0,2258.0,2223.8,2231.8,4408.0
2026-01-02,ANUP,2228.2,2274.9,2215.0,2264.0,10644.0
2026-01-01,ANURAS,1321.0,1330.0,1310.2,1326.5,408433.0
2026-01-02,ANURAS,1326.0,1330.0,1311.2,1325.7,274390.0
2026-01-01,APARINDS,8424.0,8455.0,8314.0,8327.5,17662.0
2026-01-02,APARINDS,8379.0,8394.0,8245.0,8274.0,32822.0
2026-01-01,APLAPOLLO,1925.6,1989.9,1914.0,1970.0,1879995.0
2026-01-02,APLAPOLLO,1975.0,1993.7,1921.6,1930.2,751788.0
2026-01-01,APLLTD,843.0,849.0,835.0,837.65,26324.0
2026-01-02,APLLTD,835.0,847.5,832.7,838.95,72318.0
2026-01-01,APOLLOHOSP,7063.0,7125.0,7023.5,7111.5,81987.0
2026-01-02,APOLLOHOSP,7130.0,7151.0,7075.5,7123.5,347003.0
2026-01-01,APOLLOTYRE,500.75,502.5,492.35,494.2,517987.0
2026-01-02,APOLLOTYRE,494.2,500.5,492.0,497.55,397622.0
2026-01-01,APTUS,281.6,284.85,279.05,282.05,455178.0
2026-01-02,APTUS,282.5,284.4,280.5,284.2,398701.0
2026-01-01,ARE&M,914.05,931.9,904.05,927.8,342003.0
2026-01-02,ARE&M,928.0,933.5,920.0,929.5,255505.0
2026-01-01,ARVIND,316.4,319.9,315.8,318.65,86972.0
2026-01-02,ARVIND,318.15,320.25,316.5,318.5,108440.0
2026-01-01,ARVINDFASN,499.0,514.85,498.95,507.95,96572.0
2026-01-02,ARVINDFASN,505.0,511.35,502.1,510.25,122817.0
2026-01-01,ASAHIINDIA,1008.0,1018.9,992.5,997.6,62796.0
2026-01-02,ASAHIINDIA,999.0,1004.9,988.6,991.2,54430.0
2026-01-01,ASHOKA,168.0,169.49,167.3,167.88,278657.0
2026-01-02,ASHOKA,167.88,170.5,167.22,169.5,602444.0
2026-01-01,ASHOKLEY,179.19,185.56,178.81,184.88,26287021.0
2026-01-02,ASHOKLEY,185.0,190.0,183.77,188.1,25215574.0
2026-01-01,ASIANPAINT,2775.9,2782.7,2746.1,2752.0,327945.0
2026-01-02,ASIANPAINT,2755.8,2799.0,2755.8,2771.6,507064.0
2026-01-01,ASKAUTOLTD,481.0,481.3,475.3,478.3,65729.0
2026-01-02,ASKAUTOLTD,483.0,487.0,478.05,484.0,123796.0
2026-01-01,ASTERDM,615.0,615.0,603.0,606.7,521216.0
2026-01-02,ASTERDM,609.7,617.1,605.0,615.95,481293.0
2026-01-01,ASTRAL,1397.9,1437.1,1392.1,1434.9,592945.0
2026-01-02,ASTRAL,1443.0,1460.0,1434.1,1454.9,439494.0
2026-01-01,ASTRAMICRO,978.0,995.95,975.05,983.0,163879.0
2026-01-02,ASTRAMICRO,982.05,985.8,957.1,965.4,187440.0
2026-01-01,ASTRAZEN,9000.0,9064.0,8700.0,8777.5,26383.0
2026-01-02,ASTRAZEN,8798.5,8800.5,8561.5,8600.0,34217.0
2026-01-01,ATGL,567.35,621.0,567.35,594.1,10982992.0
2026-01-02,ATGL,588.5,591.8,585.1,587.55,795454.0
2026-01-01,ATHERENERG,755.0,764.9,727.85,738.5,1392172.0
2026-01-02,ATHERENERG,738.0,753.8,736.05,741.75,1245089.0
2026-01-01,ATUL,6159.0,6190.0,6093.0,6169.0,10914.0
2026-01-02,ATUL,6200.0,6200.0,6091.0,6097.5,11199.0
2026-01-01,AUBANK,994.5,1003.15,991.1,999.45,685959.0
2026-01-02,AUBANK,1002.9,1011.0,997.05,999.45,1012054.0
2026-01-01,AURIONPRO,1042.7,1066.7,1032.0,1060.4,79028.0
2026-01-02,AURIONPRO,1064.8,1090.0,1047.6,1085.0,101269.0
2026-01-01,AUROPHARMA,1190.0,1197.0,1170.2,1193.0,412064.0
2026-01-02,AUROPHARMA,1200.7,1217.5,1192.0,1215.0,512220.0
2026-01-01,AVALON,876.5,889.0,872.2,882.4,65551.0
2026-01-02,AVALON,882.4,896.9,859.15,891.1,332903.0
2026-01-01,AVANTIFEED,837.55,883.75,833.25,878.5,1560522.0
2026-01-02,AVANTIFEED,880.45,887.2,865.5,880.35,776167.0
2026-01-01,AWFIS,492.8,501.45,489.95,498.4,60716.0
2026-01-02,AWFIS,498.4,500.1,492.0,495.95,43372.0
2026-01-01,AWL,238.1,242.4,237.0,239.45,1249175.0
2026-01-02,AWL,240.0,240.0,234.1,234.5,2536444.0
