Open,High,Low,Close,Adj Close,Volume,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v75,v12,v13,v14,v15,v16,v17,v18,v19,v20,ema20,v21,v22,v79,v80,ticker,market_cap,Rank,tag,v65,v67,v1_vol,v2_vol,v2_vol_nif_100,v2_vol_midcap,v2_vol_smallcap,v2_vol_microcap,v3_vol,v4_vol,v5_vol,v5_vol_nif_100,v5_vol_midcap_150,v5_vol_smallcap_250,v5_vol_microcap_250,v5_vol_with_15%WH_all_stk,v5_vol_with_15%WH_nif_100,v5_vol_with_15%WH_midcap_150,v5_vol_with_15%WH_smallcap_250,v5_vol_with_15%WH_microcap_250,v5_vol_with_20%WH_all_stk,v5_vol_with_20%WH_nif_100,v5_vol_with_20%WH_midcap_150,v5_vol_with_20%WH_smallcap_250,v5_vol_with_20%WH_microcap_250,v5_vol_with_30%WH_all_stk,v5_vol_with_30%WH_nif_100,v5_vol_with_30%WH_midcap_150,v5_vol_with_30%WH_smallcap_250,v5_vol_with_30%WH_microcap_250,v26,v27,v28,v32,v33,v34,v35,v36,v37,v38,v39,v40,v47,v48,v49,v50,v51,v52,v53,v58,v59,v60,v61,v62,v63,v64,v76,v81,v2_vol_ema_4,v2_vol_ema_10,v84,v85,v86,total_account_value,total_portfolio_value,daily_return,cumulative_return,cumulative_return_20EMA,v65_proportion,allocation,shares_to_buy,actual_investment
290.0,313.99,290.0,312.84,0.0,9522164.0,132.34895021591186,229.42880000000002,186.29600029296876,0.08640088901236287,2.680470588235294,268.05,2.3595359833844376,235.95,0.8913003631814955,89.13,0.25401851926083285,0.005573627118464516,0.010091640892662816,0.010625468355946396,0.02834535910698956,0.029842298646524105,0.031127700289419843,0.19663279260025812,0.33816566921322744,0.3413508950919173,253.223,313.99,-0.3662537023472194,55.75,461.1479820627802,CUPID,48095961513.30957,631,Nifty Micro 250,671660180.3999999,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,2.1980133527119583,3.6130307463938425,2.244210778214769,1,1,1,1,1,1,1,1,1,4,2.0,1.75,2.0,1.75,2.0,1.75,2.9055220495529004,2.6850849591068564,1,1,1.6254181732829664,1,1,14,7.5,341.5210059278934,337.06531447136365,1.0,5.333333333333333,4.25,15409044.02529592,15403371.579999996,0.0,14.41,14.409999998839252,0.1350507742735718,27010.154854714357,86,26904.239999999998
291.95,296.75,290.15,294.15,0.0,4821228.0,196.21155008239745,259.1964,233.19509998168945,0.006673511293634471,1.0405828127279158,104.06,0.6522496321794431,65.22,0.4872585793078228,48.73,0.1187388278248962,0.003027242925886005,0.004159954707518285,0.006517212601423073,0.019772050169921375,0.018529852758144772,0.02029275774294049,0.15310718412455065,0.22450014912772484,0.32115953306988565,278.0875,308.25,-4.574209245742099,129.1999969482422,127.6702840154378,LTF,576245008903.3242,142,Nifty Midcap 150,1822140091.2357142,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,1.3889889553438222,1.882269050932718,2.0429369307717957,9,20,15,2,6,4,2,6,4,72,33.666666666666664,29.0,26.666666666666668,21.0,26.666666666666668,21.0,1.63562900313827,1.7713983123494454,3,2,0.5697541057436329,19,15,58,36.5,341.5210059278934,337.06531016756776,14.666666666666666,31.0,25.5,15409044.02529592,15403371.579999996,0.0,14.41,14.408439004430463,0.3663778758028336,73275.57516056672,249,73243.34999999999
3650.0,3755.0,3580.0,3725.6,0.0,4743416.0,2569.5987490234374,3133.75,2889.669001953125,0.09799298576522952,1.0427118731644023,104.27,0.7706381954689006,77.06,0.4707090130317242,47.07,0.15762980455519982,0.0030458545521518765,0.004726266339334424,0.006370096059172569,0.020536400399810965,0.019447527567134578,0.021944259433611665,0.14831491852778217,0.24302659158183149,0.29028530575133454,3268.99,3755.0,-0.782956058588551,1756.050048828125,112.15796226800177,MUTHOOTFIN,1139325997994.1406,62,Nifty Next 50,1457504217.257143,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,1.2999135828853867,2.164367412235358,1.7351729219618306,8,11,18,3,3,9,3,3,9,6,8.333333333333334,10.75,4.0,5.25,4.0,5.25,1.7321404975603722,1.7331513056941918,2,3,0.6206736042503124,14,18,37,27.5,341.5210059278934,337.0653101670452,12.333333333333334,22.0,18.5,15409044.02529592,15403371.579999996,0.0,14.41,14.409999998717067,0.29306050707122344,58612.10141424469,15,55884.0
1312.4,1381.6,1312.4,1370.7,0.0,267720.0,803.9382504882811,1136.534,957.5884992675782,0.04442243218530928,0.8974251850444948,89.74,1.1496117737304852,114.96,0.8237094791433706,82.37,0.15427368421052634,0.00295541017643823,0.006479912183954427,0.010112766590008513,0.028759266272338227,0.028128069905077692,0.032958984852349646,0.10276375441750604,0.2303717320748222,0.3068288248352277,1193.6100000000001,1387.6,-1.2179302392620253,549.7999877929688,149.3088451133519,IMFA,52653807507.23877,607,Nifty Micro 250,320781592.1571429,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,0.4532395354840488,1.9716744471242322,1.9000839236381006,11,4,2,15,5,7,15,5,7,14,9.666666666666666,7.75,11.333333333333334,10.25,11.333333333333334,10.25,1.2124569913041405,1.4416659687487938,6,4,0.9866606264369279,2,2,39,20.5,343.78416070570086,372.21266920934823,5.666666666666667,15.0,14.0,15409044.02529592,15403371.579999996,0.0,14.41,14.409996516672171,0.06449958425067188,12899.916850134377,9,12336.300000000001
1001.2,1014.4,992.95,999.0,0.0,1785705.0,733.6054985961914,912.6419999999999,865.6639995117188,0.0019557695200842495,1.0183856457450315,101.84,0.6547953947322527,65.48,0.20223838416780615,20.22,0.13787801127626853,0.0030466326297982596,0.0041472698522797774,0.003058454966668024,0.022559103754859765,0.01690780005975961,0.0162035159620478,0.13505113779805825,0.24528737255121894,0.18875255060886775,957.845,1014.4,-1.5181388012618275,474.04998779296875,110.73726942828064,LAURUSLABS,475396920564.9219,166,Nifty Midcap 150,701303994.0,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,1.0533754507952395,2.1987918630336285,0.7230624835123997,10,19,66,5,2,50,5,2,50,19,16.0,28.5,8.666666666666666,19.0,8.666666666666666,19.0,1.626083656914434,1.3250765991137559,4,5,0.4285168894500294,28,66,47,56.5,341.5210059278934,337.06531016749227,31.666666666666668,44.0,35.5,15409044.02529592,15403371.579999996,0.0,14.41,14.371602418450315,0.14101125860169925,28202.25172033985,28,27972.0
