date,ticker,shares,sell_price,sell_value,bought_price,realized_pnl,realized_pnl_pct
2015-09-30,LAOPALA,176,277.2250061035156,48791.60107421875,283.375,-1082.39892578125,-2.170266924211513
2015-09-30,WELSPUNLIV,647,84.51499938964844,54681.20460510254,77.18499755859375,4742.511184692383,9.496666532236702
2015-09-30,OFSS,12,3945.800048828125,47349.6005859375,4145.64990234375,-2398.1982421875,-4.820712270050579
2015-09-30,GHCL,433,136.35000610351562,59039.552642822266,115.44999694824219,9049.703964233398,18.103083332815675
2015-09-30,HIMATSEIDE,271,208.10000610351562,56395.101654052734,184.35000610351562,6436.25,12.883102367061477
2015-09-30,NILKAMAL,48,969.5499877929688,46538.3994140625,1020.5,-2445.6005859375,-4.992651857621876
2015-09-30,INTELLECT,315,161.54415893554688,50886.410064697266,158.3123321533203,1018.0254364013672,2.0414245297685616
2015-10-30,MARUTI,11,4449.0,48939.0,4685.60009765625,-2602.60107421875,-5.049515381703147
2015-10-30,SAMMAANCAP,74,642.2880249023438,47529.31384277344,707.8048706054688,-4848.24658203125,-9.256342874142803
2015-10-30,CUMMINSIND,48,1073.699951171875,51537.59765625,1095.4000244140625,-1041.603515625,-1.9810181448366344
2015-10-30,GLENMARK,43,991.5,42634.5,1154.800048828125,-7021.902099609375,-14.140980422874039
2015-10-30,ZEEL,134,408.6499938964844,54759.099182128906,392.45001220703125,2170.7975463867188,4.127909589898818
2015-11-30,BRITANNIA,34,1460.0,49640.0,1464.9749755859375,-169.149169921875,-0.33959457798572207
2015-11-30,ZYDUSLIFE,125,397.20001220703125,49650.001525878906,418.3399963378906,-2642.498016357422,-5.053302174288097
2015-11-30,ESCORTS,280,174.6999969482422,48915.99914550781,176.1999969482422,-420.0,-0.8513053495912473
2015-11-30,TORNTPHARM,62,718.5,44547.0,803.5,-5270.0,-10.578718108276291
2015-11-30,RUSHIL,2178,21.432043075561523,46678.989818573,22.713306427001953,-2790.591579437256,-5.641025253448976
2015-11-30,DRREDDY,58,622.0,36076.0,860.530029296875,-13834.74169921875,-27.718966355162987
2015-11-30,NIITLTD,527,99.0,52173.0,93.75,2766.75,5.6000000000000005
2015-11-30,GRANULES,403,160.0,64480.0,123.94999694824219,14528.151229858398,29.084311366954868
2015-11-30,COFORGE,437,113.9000015258789,49774.30066680908,113.1500015258789,327.75,0.6628369331735846
2015-11-30,MARKSANS,506,100.44999694824219,50827.69845581055,103.8499984741211,-1720.4007720947266,-3.2739543339773567
2015-11-30,CHENNPETRO,216,196.0,42336.0,230.89999389648438,-7538.398681640625,-15.114766054143129
2015-12-31,MARUTI,10,4621.9501953125,46219.501953125,4555.0,669.501953125,1.4698176797475302
2015-12-31,ASHOKLEY,1107,43.95000076293945,48652.650844573975,45.150001525878906,-1328.4008445739746,-2.6578089089357864
2015-12-31,LICHSGFIN,100,510.04998779296875,51004.998779296875,484.6499938964844,2539.9993896484375,5.240894298228242
