date,ticker,shares,buy_price,buy_value
2015-12-31,NATCOPHARM,85,579.2999877929688,49240.498962402344
2016-01-29,GENUSPOWER,861,57.20000076293945,49249.20065689087
2016-01-29,JSWSTEEL,466,105.70500183105469,49258.530853271484
2016-01-29,IGL,880,55.98500061035156,49266.800537109375
2016-01-29,DIVISLAB,43,1140.949951171875,49060.847900390625
2016-01-29,HFCL,2363,20.850000381469727,49268.550901412964
2016-01-29,BALRAMCHIN,553,88.94999694824219,49189.34831237793
2016-01-29,TORNTPOWER,210,234.0,49140.0
2016-02-29,MARICO,174,236.75,41194.5
2016-02-29,ASIANPAINT,48,846.0999755859375,40612.798828125
2016-02-29,APOLLOHOSP,28,1463.8499755859375,40987.79931640625
2016-02-29,INFY,76,542.0250244140625,41193.90185546875
2016-02-29,TVSMOTOR,154,268.1499938964844,41295.099060058594
2016-02-29,RELIANCE,186,220.95993041992188,41098.54705810547
2016-02-29,PIDILITIND,140,293.32501220703125,41065.501708984375
2016-03-31,POWERGRID,531,78.24376678466797,41547.44016265869
2016-03-31,RAJESHEXPO,66,621.0999755859375,40992.598388671875
2016-03-31,HINDZINC,226,183.60000610351562,41493.60137939453
2016-03-31,BALRAMCHIN,385,107.8499984741211,41522.24941253662
2016-03-31,ASHOKLEY,765,54.29999923706055,41539.49941635132
2016-03-31,RIIL,95,434.04998779296875,41234.74884033203
2016-03-31,TORNTPOWER,179,231.89999389648438,41510.0989074707
2016-03-31,HAVELLS,129,321.3500061035156,41454.150787353516
2016-03-31,HEROMOTOCO,14,2945.699951171875,41239.79931640625
2016-04-29,TATASTEEL,1334,33.450584411621094,44623.07960510254
2016-04-29,BODALCHEM,493,90.44999694824219,44591.8484954834
2016-04-29,BIOCON,457,97.56666564941406,44587.96620178223
2016-04-29,GRASIM,70,630.59814453125,44141.8701171875
2016-04-29,GODREJCP,101,440.54998779296875,44495.548767089844
2016-04-29,RELINFRA,82,538.5499877929688,44161.09899902344
2016-04-29,YESBANK,236,188.58999633789062,44507.23913574219
2016-05-31,MANAPPURAM,804,53.650001525878906,43134.60122680664
2016-05-31,PEL,52,815.166259765625,42388.6455078125
2016-05-31,SHRIRAMFIN,187,230.0252685546875,43014.72521972656
2016-05-31,RUSHIL,1509,28.587705612182617,43138.84776878357
2016-05-31,HDIL,444,97.19999694824219,43156.79864501953
2016-05-31,INDUSINDBK,39,1102.8499755859375,43011.14904785156
2016-05-31,PIDILITIND,122,353.125,43081.25
2016-05-31,M&MFIN,220,196.04818725585938,43130.60119628906
2016-06-30,CHOLAFIN,235,189.7100067138672,44581.85157775879
2016-06-30,POWERGRID,486,91.7437744140625,44587.474365234375
2016-06-30,DHAMPURSUG,367,121.25,44498.75
2016-06-30,IGL,710,62.755001068115234,44556.05075836182
2016-06-30,KIRIINDUS,116,381.8999938964844,44300.39929199219
2016-06-30,PRICOLLTD,613,72.76312255859375,44603.79412841797
2016-06-30,ACC,27,1616.050048828125,43633.351318359375
2016-06-30,MUTHOOTFIN,152,293.04998779296875,44543.59814453125
2016-07-29,ESCORTS,183,262.5,48037.5
2016-07-29,ASIANPAINT,43,1114.1500244140625,47908.45104980469
2016-07-29,HINDPETRO,257,186.91851806640625,48038.059143066406
2016-07-29,VEDL,292,164.64999389648438,48077.79821777344
2016-07-29,BAJAJFINSV,176,272.3900146484375,47940.642578125
2016-07-29,SHREECEM,2,16110.25,32220.5
2016-07-29,GHCL,211,228.3000030517578,48171.3006439209
2016-07-29,SUDARSCHEM,152,315.25,47918.0
2016-08-31,PEL,51,1036.64111328125,52868.69677734375
2016-08-31,INDIANB,235,224.9499969482422,52863.249282836914
2016-08-31,IGL,659,80.11499786376953,52795.78359222412
2016-08-31,SRF,153,344.29998779296875,52677.89813232422
2016-08-31,DELTACORP,341,154.85000610351562,52803.85208129883
2016-08-31,HINDALCO,332,159.25,52871.0
2016-08-31,EDELWEISS,844,62.59198760986328,52827.63754272461
2016-08-31,PETRONET,300,175.9250030517578,52777.500915527344
2016-08-31,SUNDRMFAST,181,291.6000061035156,52779.60110473633
2016-08-31,INDIACEM,352,149.8000030517578,52729.60107421875
2016-09-30,CHOLAFIN,220,231.47000122070312,50923.40026855469
2016-09-30,MARUTI,9,5477.2998046875,49295.6982421875
2016-09-30,BPL,615,83.05000305175781,51075.751876831055
2016-09-30,IOC,526,97.08333587646484,51065.83467102051
2016-09-30,BODALCHEM,356,143.14999389648438,50961.39782714844
2016-09-30,ABREL,54,943.0499877929688,50924.69934082031
2016-09-30,IDFCFIRSTB,639,79.8499984741211,51024.14902496338
2016-09-30,APTECHT,452,113.0,51076.0
2016-09-30,HINDPETRO,271,188.42222595214844,51062.42323303223
2016-09-30,AJANTPHARM,38,1338.066650390625,50846.53271484375
2016-10-28,GNFC,214,280.79998779296875,60091.19738769531
2016-10-28,VAKRANGEE,512,117.47577667236328,60147.59765625
2016-10-28,JUBLPHARMA,116,517.3148803710938,60008.526123046875
2016-10-28,JISLJALEQS,559,107.5,60092.5
2016-10-28,TIRUMALCHM,691,87.0999984741211,60186.098945617676
2016-10-28,TVSMOTOR,148,405.0,59940.0
2016-10-28,INDIACEM,383,157.0500030517578,60150.15116882324
2016-11-30,MOIL,264,188.0500030517578,49645.20080566406
2016-11-30,TATACOMM,121,408.5209655761719,49431.0368347168
2016-11-30,INDIANB,195,253.75,49481.25
2016-11-30,PNBGILTS,930,53.349998474121094,49615.49858093262
2016-11-30,RECLTD,483,102.67500305175781,49592.02647399902
2016-11-30,ONGC,257,192.60000610351562,49498.201568603516
2016-11-30,VEDL,216,229.85000610351562,49647.601318359375
2016-11-30,HINDZINC,175,282.6000061035156,49455.001068115234
2016-11-30,INFIBEAM,1993,24.90542221069336,49636.506465911865
2016-11-30,HINDALCO,282,175.75,49561.5
2016-12-30,NMDC,1488,31.616825103759766,47045.83575439453
2016-12-30,HCC,1320,35.61729431152344,47014.82849121094
2016-12-30,NATIONALUM,720,65.30000305175781,47016.002197265625
2016-12-30,DATAMATICS,366,128.5,47031.0
2016-12-30,GAIL,571,82.35004425048828,47021.87526702881
2016-12-30,TVSELECT,248,189.5,46996.0
2016-12-30,OIL,312,150.70004272460938,47018.413330078125
2016-12-30,ENGINERSIN,311,151.0,46961.0
2017-01-31,POWERGRID,436,116.5500259399414,50815.81130981445
2017-01-31,DWARKESH,1274,39.8650016784668,50788.0121383667
2017-01-31,STLTECH,407,124.80000305175781,50793.60124206543
2017-01-31,CESC,766,66.26692962646484,50760.46809387207
2017-01-31,BEL,1089,46.666664123535156,50819.997230529785
2017-01-31,HINDALCO,267,189.9499969482422,50716.649185180664
2017-01-31,SWANENERGY,297,171.0500030517578,50801.85090637207
2017-02-28,ESCORTS,118,449.04998779296875,52987.89855957031
2017-02-28,VENKEYS,61,858.5499877929688,52371.549255371094
2017-02-28,LTF,491,108.31177520751953,53181.08162689209
2017-02-28,GAIL,549,96.9188003540039,53208.421394348145
