Open,High,Low,Close,Adj Close,Volume,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v75,v12,v13,v14,v15,v16,v17,v18,v19,v20,ema20,v21,v22,v79,v80,ticker,market_cap,Rank,tag,v65,v67,v1_vol,v2_vol,v2_vol_nif_100,v2_vol_midcap,v2_vol_smallcap,v2_vol_microcap,v3_vol,v4_vol,v5_vol,v5_vol_nif_100,v5_vol_midcap_150,v5_vol_smallcap_250,v5_vol_microcap_250,v5_vol_with_15%WH_all_stk,v5_vol_with_15%WH_nif_100,v5_vol_with_15%WH_midcap_150,v5_vol_with_15%WH_smallcap_250,v5_vol_with_15%WH_microcap_250,v5_vol_with_20%WH_all_stk,v5_vol_with_20%WH_nif_100,v5_vol_with_20%WH_midcap_150,v5_vol_with_20%WH_smallcap_250,v5_vol_with_20%WH_microcap_250,v5_vol_with_30%WH_all_stk,v5_vol_with_30%WH_nif_100,v5_vol_with_30%WH_midcap_150,v5_vol_with_30%WH_smallcap_250,v5_vol_with_30%WH_microcap_250,v26,v27,v28,v32,v33,v34,v35,v36,v37,v38,v39,v40,v47,v48,v49,v50,v51,v52,v53,v58,v59,v60,v61,v62,v63,v64,v76,v81,v2_vol_ema_4,v2_vol_ema_10,v84,v85,v86,total_account_value,total_portfolio_value,daily_return,cumulative_return,cumulative_return_20EMA,v65_proportion,allocation,shares_to_buy,actual_investment
481.4,493.25,480.7,485.85,0.0,4495427.0,179.51360020980835,332.1222,264.0522003051758,0.013348628636979942,5.316302802463545,531.63,3.673881811097214,367.39,1.2260148446806562,122.6,0.4773763911694946,0.007753280368633642,0.012716215873431634,0.013245884883212383,0.029142021775553018,0.028977335816922214,0.031210970674512575,0.2660515604698985,0.43883316098388886,0.42439836368271633,413.61,493.25,-1.5002534211860066,55.75,771.4798206278027,CUPID,48095961513.30957,632,Nifty Micro 250,1859912739.057143,278,190,255,46,53,55,47,151,201,330,56,66,70,61,230,48,56,44,41,290,54,61,62,55,355,56,67,77,65,3.502297729088555,5.1530452667590865,3.077066841485773,1,1,1,1,1,1,1,1,1,10,4.0,3.25,4.0,3.25,4.0,3.25,4.327671497923821,3.910803279111138,1,1,2.449948327888935,1,1,2,1.5,263.16302161387443,266.3482921113275,1.0,1.3333333333333333,1.25,15593454.875295924,15590684.39,0.0,14.59,14.590735634522648,0.0786175893307675,15723.5178661535,32,15547.2
481.4,493.25,480.7,485.85,0.0,4495427.0,179.51360020980835,332.1222,264.0522003051758,0.013348628636979942,5.316302802463545,531.63,3.673881811097214,367.39,1.2260148446806562,122.6,0.4773763911694946,0.007753280368633642,0.012716215873431634,0.013245884883212383,0.029142021775553018,0.028977335816922214,0.031210970674512575,0.2660515604698985,0.43883316098388886,0.42439836368271633,413.61,493.25,-1.5002534211860066,55.75,771.4798206278027,CUPID,48095961513.30957,632,Nifty Micro 250,1859912739.057143,278,190,255,46,53,55,47,151,201,330,56,66,70,61,230,48,56,44,41,290,54,61,62,55,355,56,67,77,65,3.502297729088555,5.1530452667590865,3.077066841485773,1,1,1,1,1,1,1,1,1,10,4.0,3.25,4.0,3.25,4.0,3.25,4.327671497923821,3.910803279111138,1,1,2.449948327888935,1,1,2,1.5,263.16302161387443,266.3482921113275,1.0,1.3333333333333333,1.25,,,0.0,14.59,14.59081306973556,0.0786175893307675,15723.5178661535,32,15547.2
963.0,966.0,949.2,953.0,0.0,4883847.0,689.4117496948243,820.5809999999999,721.8769991455079,-0.007963358142924037,0.6528495122152349,65.28,0.3552331960418458,35.52,0.5554104782111962,55.54,0.09836915807065072,0.002229003225426753,0.0025620702475764143,0.007174994309459904,0.021693618492448673,0.01724276434836498,0.016931965557742273,0.10274925901378076,0.14858813794664885,0.4237543647836611,876.7075000000001,983.7,-3.120870183999191,493.3500061035156,93.16914730108257,SHRIRAMFIN,1115393137920.0,66,Nifty Next 50,9314830888.52381,278,190,255,46,53,55,47,151,201,330,56,66,70,61,230,48,56,44,41,290,54,61,62,55,355,56,67,77,65,0.46373994603096924,0.7318142144981016,3.07064412481482,22,36,2,20,25,2,20,25,2,34,30.666666666666668,23.5,26.333333333333332,20.25,26.333333333333332,20.25,0.5977770802645355,1.4220660951146302,14,2,0.45532183712652097,13,2,23,12.5,263.16302161387705,266.34840620702727,20.0,20.333333333333332,20.75,15593454.875295924,15590684.39,0.0,14.59,14.590000000030024,0.3937332833425009,78746.65666850017,82,78146.0
963.0,966.0,949.2,953.0,0.0,4883847.0,689.4117496948243,820.5809999999999,721.8769991455079,-0.007963358142924037,0.6528495122152349,65.28,0.3552331960418458,35.52,0.5554104782111962,55.54,0.09836915807065072,0.002229003225426753,0.0025620702475764143,0.007174994309459904,0.021693618492448673,0.01724276434836498,0.016931965557742273,0.10274925901378076,0.14858813794664885,0.4237543647836611,876.7075000000001,983.7,-3.120870183999191,493.3500061035156,93.16914730108257,SHRIRAMFIN,1115393137920.0,66,Nifty Next 50,9314830888.52381,278,190,255,46,53,55,47,151,201,330,56,66,70,61,230,48,56,44,41,290,54,61,62,55,355,56,67,77,65,0.46373994603096924,0.7318142144981016,3.07064412481482,22,36,2,20,25,2,20,25,2,34,30.666666666666668,23.5,26.333333333333332,20.25,26.333333333333332,20.25,0.5977770802645355,1.4220660951146302,14,2,0.45532183712652097,13,2,23,12.5,263.16302161387705,266.34840620702727,20.0,20.333333333333332,20.75,,,0.0,14.59,14.590000000033186,0.3937332833425009,78746.65666850017,82,78146.0
1085.0,1089.0,1076.3,1081.5,0.0,1517953.0,801.0514988403321,995.6259999999999,934.3225014648438,-0.0023983027395996226,0.9104399340074192,91.04,0.5896230452107833,58.96,0.2065599375244045,20.66,0.07805023923444976,0.0028207367320639263,0.0038230439863383534,0.0031158023862384713,0.02223158881309215,0.016659465346235375,0.016196918333735932,0.12687967359322508,0.22948179349598793,0.19237007448192706,1031.935,1092.6,-1.0159253157605628,501.1499938964844,115.80365422959389,LAURUSLABS,475396920564.9219,166,Nifty Midcap 150,1308230501.0,278,190,255,46,53,55,47,151,201,330,56,66,70,61,230,48,56,44,41,290,54,61,62,55,355,56,67,77,65,0.9127333672809423,1.9640473742713656,0.7630070451586746,7,13,37,7,2,20,7,2,20,4,8.0,15.25,4.333333333333333,8.25,4.333333333333333,8.25,1.4383903707761538,1.2132625955703273,2,3,0.3980914913675939,18,37,35,36.0,263.16302161387443,266.3482921008718,19.0,28.333333333333332,23.0,,,0.0,14.59,14.590000000000018,0.05529825465346325,11059.65093069265,10,10815.0
